category,item,variety,date,price,unit
fruit,apples,bramleys_seedling,3/17/2025,1.35,kg
fruit,apples,coxs_orange_group,3/17/2025,1.26,kg
fruit,apples,braeburn,3/17/2025,1.17,kg
fruit,apples,gala,3/17/2025,1.24,kg
fruit,apples,other_mid_season,3/17/2025,1.37,kg
fruit,apples,other_late_season,3/17/2025,1.67,kg
fruit,pears,conference,3/17/2025,1.25,kg
vegetable,asparagus,asparagus,3/17/2025,18.58,kg
vegetable,beetroot,beetroot,3/17/2025,0.65,kg
vegetable,brussels_sprouts,brussels_sprouts,3/17/2025,1.14,kg
vegetable,pak_choi,pak_choi,3/17/2025,3.52,kg
vegetable,curly_kale,curly_kale,3/17/2025,4.01,kg
vegetable,cabbage,red,3/17/2025,0.63,kg
vegetable,cabbage,savoy,3/17/2025,0.67,head
vegetable,spring_greens,prepacked,3/17/2025,1.96,kg
vegetable,cabbage,white,3/17/2025,0.54,kg
vegetable,cabbage,round_green_other,3/17/2025,0.62,head
vegetable,carrots,topped_washed,3/17/2025,0.45,kg
vegetable,cauliflower,all,3/17/2025,0.8,head
vegetable,celeriac,celeriac,3/17/2025,0.81,kg
vegetable,cucumbers,cucumbers,3/17/2025,1.11,kg
vegetable,leeks,trimmed,3/17/2025,1.58,kg
vegetable,lettuce,butterhead_indoor,3/17/2025,0.48,head
vegetable,lettuce,little_gem,3/17/2025,0.96,twin
vegetable,onion,bulb_brown,3/17/2025,0.45,kg
vegetable,onion,bulb_red,3/17/2025,0.69,kg
vegetable,swede,swede,3/17/2025,0.27,kg
vegetable,turnip,turnip,3/17/2025,1.43,kg
vegetable,parsnips,all_varieties,3/17/2025,1.02,kg
vegetable,rhubarb,forced,3/17/2025,6.83,kg
vegetable,rhubarb,outdoor,3/17/2025,3.4,kg
cut_flowers,tulips,tulips,3/17/2025,0.37,stem
fruit,apples,bramleys_seedling,3/3/2025,1.38,kg
fruit,apples,coxs_orange_group,3/3/2025,1.32,kg
fruit,apples,egremont_russet,3/3/2025,1.2,kg
fruit,apples,braeburn,3/3/2025,1.19,kg
fruit,apples,gala,3/3/2025,1.24,kg
fruit,apples,other_mid_season,3/3/2025,1.1,kg
fruit,apples,other_late_season,3/3/2025,2.08,kg
fruit,pears,conference,3/3/2025,1.27,kg
vegetable,asparagus,asparagus,3/3/2025,19.37,kg
vegetable,beetroot,beetroot,3/3/2025,0.66,kg
vegetable,brussels_sprouts,brussels_sprouts,3/3/2025,1.16,kg
vegetable,pak_choi,pak_choi,3/3/2025,3.58,kg
vegetable,curly_kale,curly_kale,3/3/2025,4.51,kg
vegetable,cabbage,red,3/3/2025,0.6,kg
vegetable,cabbage,savoy,3/3/2025,0.71,head
vegetable,spring_greens,prepacked,3/3/2025,1.8,kg
vegetable,cabbage,white,3/3/2025,0.51,kg
vegetable,cabbage,round_green_other,3/3/2025,0.66,head
vegetable,carrots,topped_washed,3/3/2025,0.43,kg
vegetable,cauliflower,all,3/3/2025,0.85,head
vegetable,celeriac,celeriac,3/3/2025,0.79,kg
vegetable,leeks,trimmed,3/3/2025,1.48,kg
vegetable,lettuce,butterhead_indoor,3/3/2025,0.55,head
vegetable,lettuce,little_gem,3/3/2025,0.9,twin
vegetable,onion,bulb_brown,3/3/2025,0.48,kg
vegetable,onion,bulb_red,3/3/2025,0.66,kg
vegetable,swede,swede,3/3/2025,0.29,kg
vegetable,turnip,turnip,3/3/2025,1.7,kg
vegetable,parsnips,all_varieties,3/3/2025,1.02,kg
vegetable,rhubarb,forced,3/3/2025,7.24,kg
cut_flowers,tulips,tulips,3/3/2025,0.37,stem
fruit,apples,bramleys_seedling,2/17/2025,1.34,kg
fruit,apples,coxs_orange_group,2/17/2025,1.3,kg
fruit,apples,egremont_russet,2/17/2025,1.36,kg
fruit,apples,braeburn,2/17/2025,1.23,kg
fruit,apples,gala,2/17/2025,1.23,kg
fruit,apples,other_late_season,2/17/2025,1.21,kg
fruit,pears,conference,2/17/2025,1.36,kg
vegetable,beetroot,beetroot,2/17/2025,0.7,kg
vegetable,brussels_sprouts,brussels_sprouts,2/17/2025,1.17,kg
vegetable,pak_choi,pak_choi,2/17/2025,3.62,kg
vegetable,curly_kale,curly_kale,2/17/2025,4.44,kg
vegetable,cabbage,red,2/17/2025,0.59,kg
vegetable,cabbage,savoy,2/17/2025,0.66,head
vegetable,spring_greens,prepacked,2/17/2025,1.95,kg
vegetable,cabbage,white,2/17/2025,0.51,kg
vegetable,cabbage,round_green_other,2/17/2025,0.67,head
vegetable,carrots,topped_washed,2/17/2025,0.49,kg
vegetable,cauliflower,all,2/17/2025,1.09,head
vegetable,celeriac,celeriac,2/17/2025,0.83,kg
vegetable,cucumbers,cucumbers,2/17/2025,1.29,kg
vegetable,leeks,trimmed,2/17/2025,1.49,kg
vegetable,lettuce,butterhead_indoor,2/17/2025,0.52,head
vegetable,lettuce,little_gem,2/17/2025,0.86,twin
vegetable,onion,bulb_brown,2/17/2025,0.57,kg
vegetable,onion,bulb_red,2/17/2025,0.7,kg
vegetable,swede,swede,2/17/2025,0.31,kg
vegetable,turnip,turnip,2/17/2025,1.43,kg
vegetable,parsnips,all_varieties,2/17/2025,1.01,kg
vegetable,rhubarb,forced,2/17/2025,6.48,kg
cut_flowers,tulips,tulips,2/17/2025,0.48,stem
fruit,apples,bramleys_seedling,2/3/2025,1.36,kg
fruit,apples,coxs_orange_group,2/3/2025,1.36,kg
